YEAR,ORG_CODE,SIMPLE_CONSULTANTS_FTE
2011,RDY,40.58091
2011,RDZ,148.79318
2011,RE9,60.95
2011,REF,229.78
2011,REM,192.595
2011,REN,40
2011,REP,47.85
2011,RET,49.6
2011,RF4,267.24271
2011,RFF,95.65
2011,RFR,128.515
2011,RFS,131.512
2011,RFW,93.98408
2011,RGC,134.07044
2011,RGD,55.3
2011,RGM,74.375
2011,RGN,166.07954
2011,RGP,106.546
2011,RGQ,158.69454
2011,RGR,125.03227
2011,RGT,380.01236
2011,RH5,32.25
2011,RH8,248.03768
2011,RHA,108.21136
2011,RHM,407.96432
2011,RHQ,493.72272
2011,RHU,301.19009
2011,RHW,215.35908
2011,RHX,11.7
2011,RJ1,510.20907
2011,RJ2,129.81637
2011,RJ6,128.55227
2011,RJ7,376.69377
2011,RJ8,29.35
2011,RJC,97.88636
2011,RJD,104.34091
2011,RJE,279.15418
2011,RJF,108.39545
2011,RJL,153.96198
2011,RJN,72.88637
2011,RJR,119.90681
2011,RJX,8.9
2011,RJZ,408.68032
2011,RK5,134.794
2011,RK9,287.24909
2011,RKB,309.68672
2011,RKE,145.35908
2011,RKL,101.51591
2011,RL1,66.35
2011,RL4,225.42273
2011,RLN,229.31818
2011,RLQ,90.675
2011,RLT,63.02273
2011,RLU,48.528
2011,RLY,28.77727
2011,RM1,316.81137
2011,RM2,231.30572
2011,RM3,279.47968
2011,RM4,51.6
2011,RMC,140.79545
2011,RMP,93.87727
2011,RMY,64.873
2011,RN1,104.89936
2011,RN3,142.89318
2011,RN5,113.869
2011,RN7,72.52727
2011,RNA,162.828
2011,RNH,82.6
2011,RNJ,354.70452
2011,RNK,19.26082
2011,RNL,148.25
2011,RNN,33.1
2011,RNQ,110.89432
2011,RNS,184.34459
2011,RNU,96.05455
2011,RNZ,145.73063
2011,RP1,47.71818
2011,RP4,230.76636
2011,RP5,185.92
2011,RP6,96.38
2011,RP7,40.23637
2011,RPA,149.02545
2011,RPC,51.9013
2011,RPG,61.55
2011,RPY,100.70909
2011,RQ3,162.942
2011,RQ6,252.46818
2011,RQ8,185.20808
2011,RQM,189.43636
2011,RQQ,65.511
2011,RQW,123.93408
2011,RQX,111.83636
2011,RQY,84.27045
2011,RR1,362.49657
2011,RR7,117.485
2011,RR8,628.9233
2011,RRD,42.2
2011,RRE,54.30409
2011,RRF,166.70259
2011,RRJ,54.34455
2011,RRK,339.9125
2011,RRP,82.11818
2011,RRV,365.1909
2011,RT1,67.087
2011,RT2,75.9
2011,RT3,149.9
2011,RT5,81.2125
2011,RT6,38.45
2011,RTD,532.87
2011,RTE,314.99995
2011,RTF,213.97818
2011,RTG,279.23527
2011,RTH,457.68617
2011,RTK,145.67953
2011,RTP,136.15562
2011,RTQ,53.0125
2011,RTR,363.67914
2011,RTV,56.7
2011,RTX,169.98182
2011,RV3,111.27136
2011,RV5,162.82727
2011,RV8,224.03406
2011,RV9,36.748
2011,RVJ,301.50079
2011,RVL,230.26362
2011,RVN,96.125
2011,RVR,222.10522
2011,RVV,332.63636
2011,RVW,157.15
2011,RVY,92.79272
2011,RW1,99.69891
2011,RW3,440.60187
2011,RW4,65.6
2011,RW5,82.00564
2011,RW6,366.17145
2011,RWA,326.02818
2011,RWD,276.87709
2011,RWE,507.80681
2011,RWF,218.74499
2011,RWG,170.69771
2011,RWH,222.67546
2011,RWJ,153.66136
2011,RWK,110.11818
2011,RWN,81.57273
2011,RWP,231.42952
2011,RWR,82.99717
2011,RWV,58.113
2011,RWW,117.83636
2011,RWX,58
2011,RWY,196.4889
2011,RX1,525.83796
2011,RX2,120.23
2011,RX3,116.2
2011,RX4,144.44567
2011,RX8,0.1875
2011,RXA,73.458
2011,RXC,196.66045
2011,RXE,41.60454
2011,RXF,304.29318
2011,RXG,59.29
2011,RXH,384.76154
2011,RXK,259.52954
2011,RXL,143
2011,RXM,69.196
2011,RXN,257.20909
2011,RXP,236.28863
2011,RXQ,203.2899
2011,RXR,218.0375
2011,RXT,107.03
2011,RXV,55.62727
2011,RXW,197.34263
2011,RXX,88.3
2011,RXY,86.84545
2011,RY1,2.98364
2011,RY2,6.3
2011,RY3,9.313
2011,RY4,9.02727
2011,RY5,0.6
2011,RY7,1.02273
2011,RY8,2.05455
2011,RYG,61.15
2011,RYH,1.82727
2011,RYJ,489.27954
2011,RYK,29.22727
2011,RYQ,284.32771
2011,RYR,241.76136
2011,RYV,22.45
2011,RYW,49.3
2011,RYX,2.35
2011,RYY,6.092
2011,T1160,6.75
2011,T1310,203.51128
2011,T1440,0.8
2011,T1460,33.25
2011,TAC,5.4
2011,TAD,34.663
2011,TAE,37.575
2011,TAF,37.1
2011,TAH,41.85
2011,TAJ,21
2011,TAL,1.1
2011,TAN,0.5
2012,50,4.4
2012,5A7,7.5
2012,5A8,1.92727
2012,5AT,1.4
2012,5C2,1.8
2012,5C3,5
2012,5CN,3.8
2012,5CQ,19.05
2012,5D7,2.9
2012,5EF,0.6
2012,5EM,2.5
2012,5ET,0.2
2012,5F1,3.28182
2012,5F5,0.55
2012,5F7,1.9
2012,5FE,1
2012,5H1,1.45455
2012,5H8,2.6039
2012,5HG,1.45
2012,5HP,1
2012,5HQ,1
2012,5HX,3
2012,5J2,3
2012,5J4,0.85
2012,5J5,1
2012,5J6,3
2012,5JE,0.5
2012,5JX,1
2012,5K3,3
2012,5K5,3.925
2012,5K8,3.4
2012,5KF,1
2012,5KL,3.3
2012,5L1,3
2012,5L3,2.4
2012,5LA,2
2012,5LC,6.4
2012,5LD,5.4
2012,5LE,3.1
2012,5LF,3
2012,5LG,12.7
2012,5LH,2.7
2012,5LQ,2.8
2012,5M2,2
2012,5M3,3.6
2012,5M6,3.9
2012,5MK,2.3
2012,5MV,2
2012,5MX,5
2012,5N1,4.5
2012,5N2,2.075
2012,5N3,2
2012,5N4,3.4
2012,5N5,3
2012,5N6,5.9
