ORG_CODE,YEAR,FINANCIAL_POSITION,OP_INCOME,OP_COST
RGR,2012,1581,165564,-161989
RGT,2012,4080,661224,-644433
RH5,2012,1402,149655,-148205
RH8,2012,1259,367008,-381253
RHA,2012,8181,425649,-417092
RHM,2012,6543,581027,-572361
RHQ,2012,5832,909487,-893810
RHU,2012,4293,451906,-433600
RHW,2012,538.0318,333417.0023,-353623.9705
RHX,2012,238,23243,-25159
RJ1,2012,11006.9004,1168963,-1163749
RJ2,2012,1750,241470,-239328
RJ6,2012,199,243551,-238775
RJ7,2012,6286,641768,-628526
RJ8,2012,2474,83912,-78984
RJC,2012,2479.935,215445,-211442.065
RJD,2012,-14739,159083,-170300
RJE,2012,235,473558,-513032
RJF,2012,-2826,174721,-174644
RJL,2012,-309,320173,-315151
RJN,2012,5535,185725,-179102
RJR,2012,833,193217,-197469
RJX,2012,979,62629,-60790
RJZ,2012,3212,679260,-667894
RK5,2012,-15464,255784,-252845
RK9,2012,49,405822,-407790
RKB,2012,1916,509163,-506177
RKE,2012,3614,281343,-277753
RKL,2012,3834,233729,-247961
RL1,2012,588,88832,-90189
RL4,2012,8688,384917,-368406
RLN,2012,1988,309549,-301013
RLQ,2012,294,175798,-170490
RLT,2012,32,122494,-120848
RLU,2012,316,93053,-91566
RLY,2012,1671,79487,-76999
RM1,2012,6257,454661,-421003
RM2,2012,396,431923,-419853
RM3,2012,11639.6747,429264.2477,-425038.5041
RMC,2012,-23667,282108,-306391
RMP,2012,679,160154,-162304
RMY,2012,-1664.0947,219387,-218051.8465
RN3,2012,3672,302962,-275766
RN5,2012,3090,323830,-322048
RN7,2012,361,177204,-163136
RNA,2012,2898,298441,-283212
RNK,2012,-737,36163,-36539
RNL,2012,203,235295,-243814
RNN,2012,5388,170782,-168492
RNQ,2012,-2917,193122,-206304
RNS,2012,399,271295,-267764
RNU,2012,6907.3364,279797.4035,-272210.308
RNZ,2012,2427,183427,-176927
RP1,2012,655,180549,-178643
RP4,2012,15922.1113,371834,-353870.8888
RP5,2012,4585,341651,-332666
RP6,2012,4578.3878,158074,-151665.3135
RP7,2012,5090,102430,-96803
RPA,2012,-1780,237626,-234769
RPC,2012,4112,61267,-54490
RPG,2012,8506,201602,-192116
RPY,2012,10777,321355,-320717
RQ3,2012,8793,233709,-225082
RQ6,2012,7420,440705,-425551
RQ8,2012,1100,275179,-267886
RQM,2012,13043.077,345918,-322133.82
RQQ,2012,-3,110564,-107271
RQW,2012,122,184568,-181456
RQX,2012,3828.7396,255575.0425,-252107.8909
RQY,2012,1670,163195,-162564
RR1,2012,12923,628962,-653379
RR7,2012,3517.159,190424.665,-184425.912
RR8,2012,3089,1002444,-977749
RRD,2012,1767,108782,-107476
RRE,2012,5520,171889,-190261
RRF,2012,4084.612,249737,-245931.388
RRJ,2012,2521,71008,-67611
RRK,2012,3678,640031,-624941
RRP,2012,2021,190518,-189372
RRU,2012,262,303109,-299021
RRV,2012,18981.0188,842992.4,-798800.1095
RT1,2012,948.304,125823,-121129.696
RT2,2012,265,243961,-246058
RT3,2012,4091,316858,-306568
RT5,2012,4228,281886,-276789
RTD,2012,26824,894749,-873899
RTE,2012,7595,444805,-433578
RTF,2012,16486,436685,-425022
RTG,2012,185.601,454646,-439607.545
RTH,2012,3354,821705,-794214
RTK,2012,3357.12,232269.98,-223932.86
RTP,2012,254,226016,-222191
RTQ,2012,2765,105633,-102201
RTR,2012,915,532252,-517412
RTV,2012,2351.9102,152744,-150688.0898
RTX,2012,-23221,261961,-281001
RV3,2012,9713.5779,376239.6963,-367536.5283
RV5,2012,4035,371446,-362228
RV8,2012,-20456,380237,-419401
RV9,2012,3410.5,134168,-133847
RVJ,2012,7002,529896,-541647
RVL,2012,639,358508,-349928
RVN,2012,2936,194609,-184900
RVR,2012,-12094,343567,-349883
RVV,2012,8837.3,501484.6,-489624.3
RVW,2012,12242.6,278161,-269022.4
RVY,2012,1258,181098,-182142
RW1,2012,3691,332601,-326115
RW3,2012,22593,884252,-845386
RW4,2012,4.00E+03,208526,-206965
RW5,2012,6532,321739,-314233
RW6,2012,25,569840,-584479
RWA,2012,5420,497132,-489715
RWD,2012,124,422802,-421592
RWE,2012,91,758665,-745863
RWF,2012,129,367391,-351895
RWG,2012,1904,278230,-274881
RWH,2012,532,350543,-357888
RWJ,2012,3360,290194,-283779
RWK,2012,7188,261382,-253089
RWN,2012,3785.0361,323863,-312969.9639
RWP,2012,17,348763,-334825
RWR,2012,5927,203615,-196017
RWV,2012,3529,140888,-136785
RWW,2012,880,208366,-205589
RWX,2012,1660.4975,221619.7736,-217641.2762
RWY,2012,3816.2462,351313.9689,-339818.1099
RX1,2012,9133,812969,-796840
RX2,2012,2903.267,238009.5035,-229284.9179
RX3,2012,14772,293441,-279042
RX4,2012,14534,316442,-304991
RX5,2012,496,74654,-73594
RX6,2012,2768,110392,-111908
RX7,2012,2707,261312,-259335
RX8,2012,2223,209772,-207186
RX9,2012,30,155041,-153483
RXA,2012,3543.336,161403,-155534.664
RXC,2012,522,387400,-380383
RXE,2012,1788,170479,-165993
RXF,2012,-21839,460792,-483010
RXG,2012,6044.96,232445.788,-224980.828
RXH,2012,3288,606074,-596375
RXK,2012,6523,433007,-429143
RXL,2012,-766,367724,-358149
RXM,2012,1484.1142,124672,-121258.8858
RXN,2012,-411,402237,-401622
RXP,2012,18438,483702,-459564
RXQ,2012,299,350921,-342935
RXR,2012,8011,404986,-387110
RXT,2012,1512.5865,223929.6778,-219536.6719
RXV,2012,7989,157135,-149277
RXW,2012,81,309362,-300795
RXX,2012,-7641,165178,-193855
RXY,2012,1202,172902,-169348
RY1,2012,3123,146648,-143587
RY2,2012,1715,175302,-173589.6563
RY3,2012,2683,124843,-122095
RY4,2012,1308,129082,-127767
RY5,2012,1473,108773,-107290
RY6,2012,1809,139906,-137885
RY7,2012,917,66494,-65589
RY8,2012,2880,188398,-185638
RY9,2012,704,59339,-58649
RYA,2012,5635,205646,-201743
RYC,2012,4175,235499,-232596
RYD,2012,3363.817,174029,-168785.183
RYE,2012,1560,144403,-140923
RYF,2012,1942,147210,-143962
RYG,2012,6701,205782,-194442
RYH,2012,-48053,142406,-213870
RYJ,2012,9025,971274,-988644
RYK,2012,3575,71302,-67829
RYQ,2012,-44718,451584,-490842
RYR,2012,5034,367758,-3.67E+05
RYV,2012,1632,161921,-160369
RYW,2012,2953,249066,-246326
RYX,2012,1766,193270,-191507
RYY,2012,2150.94,213808,-211698
TAD,2012,1462,135858,-136257
TAE,2012,1052,106305,-108308
TAF,2012,2882,131965,-127238
TAH,2012,3684.029,128382,-122993.971
TAJ,2012,1587,108259,-105661
R1A,2013,2920,172314,-171213
R1C,2013,1858,187756,-185792
R1D,2013,234,76105,-76050
R1E,2013,509,367539,-369781
R1F,2013,1613,171867,-170029
R1G,2013,4029,154554,-153566
R1H,2013,-38270,1288172,-1355281
R1J,2013,2006.226,108979.8359,-112672.3594
RA2,2013,3249,281322,-273965
RA3,2013,-4683,96826,-100101
RA4,2013,-80,117922,-116789
RA7,2013,6838,554406,-549283
RA9,2013,35.1765,240989.1765,-239551
RAE,2013,3760.1963,363837,-356586.8037
RAJ,2013,3,270682,-267403
RAL,2013,8086,593741,-607852
RAN,2013,5912,132331,-128856
RAP,2013,10662,216083,-215278
RAS,2013,294,204301,-199610
RAT,2013,11024,340426,-325314
RAX,2013,2510.15574,210630.2112,-202405.856
RBA,2013,-2369,251596,-263400
RBB,2013,-1202,18453,-19517
RBD,2013,1542.9994,153700,-149797.0006
RBK,2013,565,237049,-216714
RBL,2013,-3220,300889,-299006
RBN,2013,1150,288448,-271813
RBQ,2013,51,114447,-111161
