ORG_CODE,SIMPLE_ALL_STAFF_FTE,YEAR
TAH,6659.18633,2011
TAJ,2490.40732,2011
AHO,9903.57448,2012
RA2,7472.75246,2012
RA3,3447.89421,2012
RA4,4160.79849,2012
RA7,16424.40085,2012
RA9,8487.24798,2012
RAE,12045.03072,2012
RAJ,9633.15362,2012
RAL,11518.4034,2012
RAN,2931.62809,2012
RAP,5024.42361,2012
RAS,5749.45485,2012
RAT,12232.48851,2012
RAX,5583.39067,2012
RBA,8487.71958,2012
RBD,5058.44274,2012
RBK,8372.1391,2012
RBL,12091.38427,2012
RBN,9549.86221,2012
RBQ,3258.95827,2012
RBS,5795.05822,2012
RBT,7150.7778,2012
RBV,5750.04213,2012
RBZ,9136.0836,2012
RC1,5084.89592,2012
RC9,7255.86303,2012
RCB,17529.1131,2012
RCD,6864.46123,2012
RCF,5534.53639,2012
RCU,5518.96073,2012
RCX,6264.74676,2012
RD1,8045.34077,2012
RD3,7434.56026,2012
RD8,6022.90764,2012
RDD,9159.78851,2012
RDE,8823.51011,2012
RDR,8821.55722,2012
RDU,8724.84563,2012
RDY,10400.58238,2012
RDZ,8552.92731,2012
RE9,10255.72524,2012
REF,11216.43416,2012
REM,9853.11532,2012
REN,1999.28752,2012
REP,2997.14279,2012
RET,2255.38221,2012
RF4,12714.76491,2012
RFF,6096.37997,2012
RFR,9196.46895,2012
RFS,7364.16,2012
RGD,7404.48021,2012
RGM,3717.13247,2012
RGN,8002.34051,2012
RGP,6303.96776,2012
RGQ,7530.08755,2012
RGR,6112.13196,2012
RGT,17351.57199,2012
RH5,7688.30036,2012
RH8,12820.63638,2012
RHA,20367.2969,2012
RHM,17300.51088,2012
RHQ,31614.03233,2012
RHU,12423.18025,2012
RHW,10527.97621,2012
RJ1,27371.53939,2012
RJ2,6094.10572,2012
RJ6,7362.19031,2012
RJ7,17252.70124,2012
RJ8,4158.13202,2012
RJC,8278.32283,2012
RJE,15000.04941,2012
RJF,6254.00948,2012
RJL,12265.87505,2012
RJN,7347.07551,2012
RJR,7992.71267,2012
RJX,4009.52528,2012
RJZ,16070.16459,2012
RK5,9157.01908,2012
RK9,12771.43177,2012
RKB,14698.26275,2012
RKE,9148.75238,2012
RKL,8214.24849,2012
RL1,2780.35784,2012
RL4,14405.14256,2012
RLN,11397.04813,2012
RLQ,5496.23066,2012
RLT,4281.16004,2012
RLU,3912.73472,2012
RLY,3645.86602,2012
RM1,13550.28053,2012
RM2,12006.49975,2012
RM3,13825.46081,2012
RMC,11982.02785,2012
RMP,5104.52362,2012
RMY,9531.54601,2012
RN3,10421.11544,2012
RN5,10986.16318,2012
RN7,4987.29762,2012
RNA,9469.45086,2012
RNK,1068.0466,2012
RNL,7336.68159,2012
RNN,7674.5486,2012
RNQ,7451.03435,2012
RNS,9557.04742,2012
RNU,11810.11083,2012
RNZ,6809.71726,2012
RP1,7851.44994,2012
RP4,8069.03349,2012
RP5,13142.02612,2012
RP6,3728.272,2012
RP7,4452.18052,2012
RPA,7970.66339,2012
RPC,1870.93362,2012
RPG,7268.51333,2012
RPY,8317.77052,2012
RQ3,6888.01864,2012
RQ6,12710.29308,2012
RQ8,8301.21828,2012
RQM,6894.64296,2012
RQQ,3474.88531,2012
RQW,6297.23408,2012
RQX,7631.52229,2012
RQY,5050.00847,2012
RR1,22424.66636,2012
RR7,7386.56561,2012
RR8,32238.30397,2012
RRD,4527.99919,2012
RRE,7639.86588,2012
RRF,9597.7844,2012
RRJ,1867.26407,2012
RRK,16722.11955,2012
RRP,6142.20658,2012
RRU,10382.75681,2012
RRV,16383.30593,2012
RT1,5461.24642,2012
RT2,11233.80804,2012
RT3,6844.58368,2012
RT5,12634.8801,2012
RTD,27807.15326,2012
RTE,14931.11217,2012
RTF,17633.49801,2012
RTG,15701.06084,2012
RTH,20632.90047,2012
